,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.0006097958296347164,IForest,COPOD,0.9987339768950784,0.9966559657570894,0.9735717676847603,0.9961878009630818,0.3553539971110001,0.28351775271711704,0.0,0.6666666666666666,0.6,"{'PCA', 'IForest', 'COPOD'}","{'HBOS', 'PCA', 'COPOD'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'HBOS'}","{'PCA', 'COPOD', 'OCSVM', 'HBOS', 'LOF'}",0.6727272727272727
synthetic_cluster_validation,9.080571993516208e-06,IForest,COPOD,0.9987339768950784,0.9966559657570894,0.9952524133565439,0.9961878009630818,0.8018244037376412,0.0029932000045450992,0.0,0.6666666666666666,0.8,"{'PCA', 'IForest', 'COPOD'}","{'OCSVM', 'IForest', 'COPOD'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'HBOS'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'OCSVM'}",0.8363636363636363
synthetic_global_validation,2.483571158308938e-06,IForest,COPOD,0.9987339768950784,0.9966559657570894,0.9998417471118847,0.9961878009630818,0.9634703196347033,1.8899451541969864e-06,0.0,0.6666666666666666,0.8,"{'PCA', 'IForest', 'COPOD'}","{'CBLOF', 'IForest', 'COPOD'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'HBOS'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'OCSVM'}",0.9272727272727272
synthetic_discrepancy_validation,0.0040279334104398245,IForest,COPOD,0.9987339768950784,0.9966559657570894,0.9347998100965343,0.9961878009630818,0.3052399718773975,0.36136637559800333,0.0,0.3333333333333333,0.6,"{'PCA', 'IForest', 'COPOD'}","{'HBOS', 'LOF', 'COPOD'}","{'IForest', 'PCA', 'COPOD', 'CBLOF', 'HBOS'}","{'IForest', 'MCD', 'COPOD', 'HBOS', 'LOF'}",0.6181818181818182
