,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.0009674144239458578,ABOD,MCD,0.9929577464788732,0.9305555555555557,0.9201877934272301,0.888888888888889,0.178925522006802,0.5779377221076198,0.0,0.6666666666666666,0.4,"{'COPOD', 'ABOD', 'LOF'}","{'MCD', 'ABOD', 'LOF'}","{'COPOD', 'LOF', 'KNN', 'ABOD', 'PCA'}","{'MCD', 'LOF', 'OCSVM', 'CBLOF', 'ABOD'}",0.5454545454545454
synthetic_cluster_validation,4.959333465582213e-05,ABOD,ABOD,0.9929577464788732,0.9305555555555557,1.0,0.9305555555555557,0.40155636168846226,0.195716070442452,1.0,0.6666666666666666,0.6,"{'COPOD', 'ABOD', 'LOF'}","{'ABOD', 'KNN', 'LOF'}","{'COPOD', 'LOF', 'KNN', 'ABOD', 'PCA'}","{'LOF', 'IForest', 'KNN', 'COF', 'ABOD'}",0.5606060606060606
synthetic_global_validation,4.959333465582213e-05,ABOD,ABOD,0.9929577464788732,0.9305555555555557,1.0,0.9305555555555557,0.40155636168846226,0.195716070442452,1.0,0.6666666666666666,0.6,"{'COPOD', 'ABOD', 'LOF'}","{'ABOD', 'KNN', 'LOF'}","{'COPOD', 'LOF', 'KNN', 'ABOD', 'PCA'}","{'LOF', 'IForest', 'KNN', 'COF', 'ABOD'}",0.5606060606060606
synthetic_discrepancy_validation,0.07934933544931559,ABOD,ABOD,0.9929577464788732,0.9305555555555557,0.7112676056338029,0.9305555555555557,0.16103296980612178,0.6170940639950111,1.0,0.6666666666666666,0.6,"{'COPOD', 'ABOD', 'LOF'}","{'MCD', 'ABOD', 'LOF'}","{'COPOD', 'LOF', 'KNN', 'ABOD', 'PCA'}","{'MCD', 'LOF', 'KNN', 'HBOS', 'ABOD'}",0.5454545454545454
