,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.19618940210668961,HBOS,KNN,0.43386243386243384,0.4024943310657596,0.8677248677248677,0.3934240362811791,0.35664335664335667,0.25513775175895725,0.0,0.0,0.6,"{'HBOS', 'LODA', 'PCA'}","{'OCSVM', 'LOF', 'KNN'}","{'PCA', 'OCSVM', 'LOF', 'HBOS', 'LODA'}","{'ABOD', 'OCSVM', 'LOF', 'LODA', 'KNN'}",0.6060606060606061
synthetic_cluster_validation,0.26651503802999327,HBOS,ABOD,0.43386243386243384,0.4024943310657596,1.0,0.4523809523809524,0.1009684339407915,0.7548696619774916,0.0,0.0,0.4,"{'HBOS', 'LODA', 'PCA'}","{'ABOD', 'LOF', 'KNN'}","{'PCA', 'OCSVM', 'LOF', 'HBOS', 'LODA'}","{'ABOD', 'IForest', 'OCSVM', 'LOF', 'KNN'}",0.5909090909090909
synthetic_global_validation,0.31539727674054413,HBOS,COPOD,0.43386243386243384,0.4024943310657596,0.9841269841269842,0.39115646258503406,0.18277934189959477,0.5696349842752019,0.0,0.3333333333333333,0.6,"{'HBOS', 'LODA', 'PCA'}","{'COPOD', 'KNN', 'PCA'}","{'PCA', 'OCSVM', 'LOF', 'HBOS', 'LODA'}","{'COPOD', 'PCA', 'OCSVM', 'LODA', 'KNN'}",0.5757575757575758
synthetic_discrepancy_validation,0.010182228598166398,HBOS,ABOD,0.43386243386243384,0.4024943310657596,0.5846560846560847,0.4523809523809524,-0.26970269031026334,0.39658003314726253,0.0,0.0,0.2,"{'HBOS', 'LODA', 'PCA'}","{'CBLOF', 'ABOD', 'KNN'}","{'PCA', 'OCSVM', 'LOF', 'HBOS', 'LODA'}","{'ABOD', 'LOF', 'CBLOF', 'MCD', 'KNN'}",0.3787878787878788
