validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.9305555555555555,0.9404761904761905,0.5333333333333333,0.8468614718614718,0.36363636363636365,1.3609189987182617
real_validation,KNN,0.9583333333333333,0.9761904761904763,0.7555555555555555,0.9093537414965986,0.36363636363636365,0.013859272003173828
real_validation,LOF,0.9305555555555555,0.9642857142857142,0.5333333333333333,0.8801587301587301,0.36363636363636365,0.007441043853759766
real_validation,COF,0.8472222222222221,0.6607142857142857,0.37777777777777777,0.5121878121878123,0.5,0.025422096252441406
real_validation,IForest,0.9861111111111112,0.9583333333333333,0.9166666666666665,0.8962585034013604,0.25,0.1150507926940918
real_validation,OCSVM,0.9583333333333334,0.9583333333333334,0.6388888888888888,0.8857142857142857,0.36363636363636365,0.006040334701538086
real_validation,COPOD,0.9583333333333334,0.8869047619047619,0.6388888888888888,0.7570533476548513,0.2857142857142857,0.10744857788085938
real_validation,PCA,0.9305555555555555,0.9285714285714286,0.5333333333333333,0.7858070500927643,0.375,0.006027698516845703
real_validation,HBOS,0.9444444444444444,0.9642857142857143,0.5888888888888889,0.9200680272108843,0.4,1.4647412300109863
real_validation,MCD,0.888888888888889,0.9583333333333334,0.42063492063492064,0.7545918367346939,0.3,0.04024672508239746
real_validation,LODA,0.8611111111111112,0.7321428571428571,0.6388888888888888,0.3664888682745826,0.6666666666666666,0.019051074981689453
real_validation,CBLOF,0.9722222222222222,0.9523809523809523,0.8055555555555556,0.857142857142857,0.4166666666666667,0.9614198207855225
synthetic_local_validation,ABOD,0.9722222222222222,0.9404761904761905,0.8666666666666667,0.8468614718614718,0.36363636363636365,0.07363319396972656
synthetic_local_validation,KNN,0.9583333333333333,0.9761904761904763,0.7555555555555555,0.9093537414965986,0.36363636363636365,0.014637470245361328
synthetic_local_validation,LOF,0.9583333333333333,0.9642857142857142,0.7555555555555555,0.8801587301587301,0.36363636363636365,0.00741124153137207
synthetic_local_validation,COF,0.7916666666666667,0.6607142857142857,0.5625,0.5121878121878123,0.5,0.02603006362915039
synthetic_local_validation,IForest,0.9583333333333333,0.9583333333333333,0.7555555555555555,0.8962585034013604,0.25,0.12190508842468262
synthetic_local_validation,OCSVM,0.9583333333333333,0.9583333333333334,0.7555555555555555,0.8857142857142857,0.36363636363636365,0.0065042972564697266
synthetic_local_validation,COPOD,0.9722222222222222,0.8869047619047619,0.8055555555555556,0.7570533476548513,0.2857142857142857,0.009323596954345703
synthetic_local_validation,PCA,0.9583333333333333,0.9285714285714286,0.7555555555555555,0.7858070500927643,0.375,0.005881071090698242
synthetic_local_validation,HBOS,0.9583333333333333,0.9642857142857143,0.7555555555555555,0.9200680272108843,0.4,0.006605625152587891
synthetic_local_validation,MCD,0.9305555555555556,0.9583333333333334,0.6666666666666667,0.7545918367346939,0.3,0.03941965103149414
synthetic_local_validation,LODA,0.9444444444444444,0.9345238095238095,0.7,0.7023809523809523,0.16666666666666666,0.019007444381713867
synthetic_local_validation,CBLOF,0.9583333333333333,0.9523809523809523,0.7555555555555555,0.857142857142857,0.4166666666666667,0.027028799057006836
synthetic_cluster_validation,ABOD,1.0,0.9404761904761905,1.0,0.8468614718614718,0.36363636363636365,0.07227635383605957
synthetic_cluster_validation,KNN,1.0,0.9761904761904763,1.0,0.9093537414965986,0.36363636363636365,0.013265371322631836
synthetic_cluster_validation,LOF,1.0,0.9642857142857142,1.0,0.8801587301587301,0.36363636363636365,0.007063865661621094
synthetic_cluster_validation,COF,1.0,0.6607142857142857,1.0,0.5121878121878123,0.5,0.02436232566833496
synthetic_cluster_validation,IForest,1.0,0.9583333333333333,1.0,0.8962585034013604,0.25,0.11452627182006836
synthetic_cluster_validation,OCSVM,1.0,0.9583333333333334,1.0,0.8857142857142857,0.36363636363636365,0.00632023811340332
synthetic_cluster_validation,COPOD,1.0,0.8869047619047619,1.0,0.7570533476548513,0.2857142857142857,0.009130716323852539
synthetic_cluster_validation,PCA,1.0,0.9285714285714286,1.0,0.7858070500927643,0.375,0.005396366119384766
synthetic_cluster_validation,HBOS,1.0,0.9642857142857143,1.0,0.9200680272108843,0.4,0.006368875503540039
synthetic_cluster_validation,MCD,1.0,0.9583333333333334,1.0,0.7545918367346939,0.3,0.037857770919799805
synthetic_cluster_validation,LODA,0.9861111111111112,0.8928571428571428,0.9166666666666665,0.7231092436974791,0.16666666666666666,0.018698453903198242
synthetic_cluster_validation,CBLOF,1.0,0.9523809523809523,1.0,0.857142857142857,0.4166666666666667,0.02714252471923828
synthetic_global_validation,ABOD,1.0,0.9404761904761905,1.0,0.8468614718614718,0.36363636363636365,0.07514643669128418
synthetic_global_validation,KNN,0.9722222222222222,0.9761904761904763,0.8055555555555556,0.9093537414965986,0.36363636363636365,0.014707803726196289
synthetic_global_validation,LOF,0.9722222222222222,0.9642857142857142,0.8055555555555556,0.8801587301587301,0.36363636363636365,0.007658958435058594
synthetic_global_validation,COF,0.9583333333333333,0.6607142857142857,0.7555555555555555,0.5121878121878123,0.5,0.025305747985839844
synthetic_global_validation,IForest,0.9861111111111112,0.9583333333333333,0.9166666666666665,0.8962585034013604,0.25,0.11667275428771973
synthetic_global_validation,OCSVM,0.9722222222222222,0.9583333333333334,0.8055555555555556,0.8857142857142857,0.36363636363636365,0.006027698516845703
synthetic_global_validation,COPOD,0.9722222222222222,0.8869047619047619,0.8055555555555556,0.7570533476548513,0.2857142857142857,0.009174108505249023
synthetic_global_validation,PCA,0.9444444444444444,0.9285714285714286,0.7,0.7858070500927643,0.375,0.005818843841552734
synthetic_global_validation,HBOS,0.9722222222222222,0.9642857142857143,0.8666666666666667,0.9200680272108843,0.4,0.0064694881439208984
synthetic_global_validation,MCD,0.9722222222222222,0.9583333333333334,0.8666666666666667,0.7545918367346939,0.3,0.03853487968444824
synthetic_global_validation,LODA,0.8472222222222223,0.7738095238095237,0.4242424242424242,0.42247990105132965,0.45454545454545453,0.01921534538269043
synthetic_global_validation,CBLOF,0.9722222222222222,0.9523809523809523,0.8055555555555556,0.857142857142857,0.4166666666666667,0.02659153938293457
synthetic_discrepancy_validation,ABOD,0.625,0.9404761904761905,0.17456617456617457,0.8468614718614718,0.36363636363636365,0.07288742065429688
synthetic_discrepancy_validation,KNN,0.5694444444444445,0.9761904761904763,0.15544871794871795,0.9093537414965986,0.36363636363636365,0.013558626174926758
synthetic_discrepancy_validation,LOF,0.4027777777777778,0.9642857142857142,0.11742424242424242,0.8801587301587301,0.36363636363636365,0.007066011428833008
synthetic_discrepancy_validation,COF,0.26388888888888884,0.6607142857142857,0.09758771929824561,0.5121878121878123,0.5,0.024002552032470703
synthetic_discrepancy_validation,IForest,0.3888888888888889,0.9583333333333333,0.11495911495911496,0.8962585034013604,0.25,0.11449575424194336
synthetic_discrepancy_validation,OCSVM,0.24999999999999997,0.9583333333333334,0.09775007601094557,0.8857142857142857,0.36363636363636365,0.006033420562744141
