,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,1.574703955656237e-05,IForest,ABOD,0.9861111111111112,0.9583333333333333,0.9722222222222222,0.9404761904761905,0.5932880471796921,0.04200445628970714,0.0,0.0,0.6,"{'CBLOF', 'IForest', 'OCSVM'}","{'ABOD', 'COPOD', 'KNN'}","{'COPOD', 'KNN', 'IForest', 'CBLOF', 'OCSVM'}","{'COPOD', 'KNN', 'LOF', 'IForest', 'ABOD'}",0.7121212121212122
synthetic_cluster_validation,0.0010078105316200484,IForest,ABOD,0.9861111111111112,0.9583333333333333,1.0,0.9404761904761905,0.39652322717110244,0.2019053891554434,0.0,0.0,0.4,"{'CBLOF', 'IForest', 'OCSVM'}","{'ABOD', 'LOF', 'KNN'}","{'COPOD', 'KNN', 'IForest', 'CBLOF', 'OCSVM'}","{'COF', 'KNN', 'LOF', 'IForest', 'ABOD'}",0.6363636363636364
synthetic_global_validation,0.0010078105316200484,IForest,ABOD,0.9861111111111112,0.9583333333333333,1.0,0.9404761904761905,0.5585618455401403,0.05907262739034224,0.0,0.3333333333333333,0.6,"{'CBLOF', 'IForest', 'OCSVM'}","{'ABOD', 'IForest', 'KNN'}","{'COPOD', 'KNN', 'IForest', 'CBLOF', 'OCSVM'}","{'KNN', 'LOF', 'IForest', 'ABOD', 'OCSVM'}",0.6818181818181818
synthetic_discrepancy_validation,0.11511479591836751,IForest,HBOS,0.9861111111111112,0.9583333333333333,0.6527777777777777,0.9642857142857143,0.0952417984616157,0.7684276411607844,0.0,0.0,0.4,"{'CBLOF', 'IForest', 'OCSVM'}","{'ABOD', 'HBOS', 'KNN'}","{'COPOD', 'KNN', 'IForest', 'CBLOF', 'OCSVM'}","{'LODA', 'KNN', 'HBOS', 'ABOD', 'CBLOF'}",0.5151515151515151
