,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.003339922602670706,MCD,ABOD,0.9672888888888889,0.9825809523809524,1.0,0.9575,0.6864930642568264,0.019648028815803707,0.0,0.6666666666666666,0.6,"{'MCD', 'ABOD', 'LOF'}","{'LOF', 'KNN', 'ABOD'}","{'MCD', 'ABOD', 'LOF', 'CBLOF', 'KNN'}","{'LOF', 'ABOD', 'COPOD', 'KNN', 'OCSVM'}",0.6909090909090909
synthetic_cluster_validation,0.003339922602670706,MCD,ABOD,0.9672888888888889,0.9825809523809524,1.0,0.9575,0.6067798762169179,0.04776605011030354,0.0,0.6666666666666666,0.6,"{'MCD', 'ABOD', 'LOF'}","{'LOF', 'KNN', 'ABOD'}","{'MCD', 'ABOD', 'LOF', 'CBLOF', 'KNN'}","{'IForest', 'LOF', 'ABOD', 'KNN', 'OCSVM'}",0.6
synthetic_global_validation,0.003339922602670706,MCD,ABOD,0.9672888888888889,0.9825809523809524,1.0,0.9575,0.8318093974067561,0.0014980328812694039,0.0,0.6666666666666666,0.6,"{'MCD', 'ABOD', 'LOF'}","{'LOF', 'KNN', 'ABOD'}","{'MCD', 'ABOD', 'LOF', 'CBLOF', 'KNN'}","{'LOF', 'ABOD', 'COPOD', 'KNN', 'OCSVM'}",0.7454545454545455
synthetic_discrepancy_validation,0.003339922602670706,MCD,ABOD,0.9672888888888889,0.9825809523809524,1.0,0.9575,0.810750931649623,0.002466275584139631,0.0,0.6666666666666666,0.6,"{'MCD', 'ABOD', 'LOF'}","{'LOF', 'KNN', 'ABOD'}","{'MCD', 'ABOD', 'LOF', 'CBLOF', 'KNN'}","{'LOF', 'ABOD', 'COPOD', 'KNN', 'OCSVM'}",0.7272727272727273
