,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.009351527593285834,CBLOF,ABOD,0.8461538461538461,0.8928571428571428,1.0,0.95,0.6699142084841699,0.0241177133670643,0.0,0.3333333333333333,0.6,"{'HBOS', 'CBLOF', 'KNN'}","{'KNN', 'LOF', 'ABOD'}","{'HBOS', 'CBLOF', 'IForest', 'KNN', 'ABOD'}","{'LOF', 'OCSVM', 'IForest', 'KNN', 'ABOD'}",0.7454545454545455
synthetic_cluster_validation,0.009351527593285834,CBLOF,ABOD,0.8461538461538461,0.8928571428571428,1.0,0.95,0.3417929635123316,0.3035807971743968,0.0,0.3333333333333333,0.4,"{'HBOS', 'CBLOF', 'KNN'}","{'KNN', 'LOF', 'ABOD'}","{'HBOS', 'CBLOF', 'IForest', 'KNN', 'ABOD'}","{'LOF', 'OCSVM', 'KNN', 'COPOD', 'ABOD'}",0.6
synthetic_global_validation,0.017534416133317195,CBLOF,IForest,0.8461538461538461,0.8928571428571428,1.0,0.9142857142857144,-0.33970886815159274,0.30673094658339445,0.0,0.3333333333333333,0.4,"{'HBOS', 'CBLOF', 'KNN'}","{'HBOS', 'COPOD', 'IForest'}","{'HBOS', 'CBLOF', 'IForest', 'KNN', 'ABOD'}","{'HBOS', 'IForest', 'MCD', 'LODA', 'COPOD'}",0.36363636363636365
synthetic_discrepancy_validation,0.017534416133317195,CBLOF,COPOD,0.8461538461538461,0.8928571428571428,1.0,0.9142857142857144,0.6960725467907756,0.017353659173673673,0.0,0.6666666666666666,0.6,"{'HBOS', 'CBLOF', 'KNN'}","{'HBOS', 'COPOD', 'CBLOF'}","{'HBOS', 'CBLOF', 'IForest', 'KNN', 'ABOD'}","{'HBOS', 'CBLOF', 'OCSVM', 'COPOD', 'ABOD'}",0.7818181818181819
