,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.018057503784081858,COPOD,COPOD,0.8599691675231244,0.8669601632127134,0.9943473792394657,0.8669601632127134,0.17482517482517487,0.5868236643627043,1.0,0.3333333333333333,0.2,"{'OCSVM', 'PCA', 'COPOD'}","{'ABOD', 'KNN', 'COPOD'}","{'OCSVM', 'COPOD', 'PCA', 'IForest', 'HBOS'}","{'ABOD', 'CBLOF', 'KNN', 'COPOD', 'LOF'}",0.5151515151515151
synthetic_cluster_validation,0.05102112937709963,COPOD,ABOD,0.8599691675231244,0.8669601632127134,1.0,0.7811124234940405,0.4803844614152615,0.11393741215192033,0.0,0.0,0.4,"{'OCSVM', 'PCA', 'COPOD'}","{'ABOD', 'LOF', 'KNN'}","{'OCSVM', 'COPOD', 'PCA', 'IForest', 'HBOS'}","{'OCSVM', 'ABOD', 'KNN', 'LOF', 'IForest'}",0.5909090909090909
synthetic_global_validation,0.019608634044166812,COPOD,COPOD,0.8599691675231244,0.8669601632127134,1.0,0.8669601632127134,0.4903685278368424,0.10554805393017484,1.0,0.3333333333333333,0.6,"{'OCSVM', 'PCA', 'COPOD'}","{'HBOS', 'LODA', 'COPOD'}","{'OCSVM', 'COPOD', 'PCA', 'IForest', 'HBOS'}","{'KNN', 'COPOD', 'IForest', 'LODA', 'HBOS'}",0.7121212121212122
synthetic_discrepancy_validation,0.015818297131491677,COPOD,COPOD,0.8599691675231244,0.8669601632127134,0.9857399794450153,0.8669601632127134,-0.35664335664335667,0.25513775175895725,1.0,0.3333333333333333,0.2,"{'OCSVM', 'PCA', 'COPOD'}","{'LODA', 'LOF', 'COPOD'}","{'OCSVM', 'COPOD', 'PCA', 'IForest', 'HBOS'}","{'ABOD', 'KNN', 'COPOD', 'LOF', 'LODA'}",0.3181818181818182
