,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.15143834019904248,MCD,COPOD,0.7357111111111112,0.7404714285714286,1.0,0.6156095238095238,0.4755244755244756,0.11817595701303213,0.0,0.3333333333333333,0.6,"{'ABOD', 'KNN', 'MCD'}","{'COPOD', 'HBOS', 'ABOD'}","{'KNN', 'COPOD', 'CBLOF', 'MCD', 'ABOD'}","{'COPOD', 'MCD', 'LOF', 'HBOS', 'ABOD'}",0.6666666666666666
synthetic_cluster_validation,0.08541052638951871,MCD,ABOD,0.7357111111111112,0.7404714285714286,1.0,0.7125095238095238,0.1652210737212952,0.607841488988687,0.0,0.6666666666666666,0.6,"{'ABOD', 'KNN', 'MCD'}","{'KNN', 'LOF', 'ABOD'}","{'KNN', 'COPOD', 'CBLOF', 'MCD', 'ABOD'}","{'KNN', 'COPOD', 'LOF', 'OCSVM', 'ABOD'}",0.4696969696969697
synthetic_global_validation,0.08541052638951871,MCD,ABOD,0.7357111111111112,0.7404714285714286,1.0,0.7125095238095238,0.2570105591220147,0.42000906170291485,0.0,0.6666666666666666,0.6,"{'ABOD', 'KNN', 'MCD'}","{'KNN', 'IForest', 'ABOD'}","{'KNN', 'COPOD', 'CBLOF', 'MCD', 'ABOD'}","{'KNN', 'COPOD', 'OCSVM', 'IForest', 'ABOD'}",0.48484848484848486
synthetic_discrepancy_validation,0.15143834019904248,MCD,COPOD,0.7357111111111112,0.7404714285714286,1.0,0.6156095238095238,0.43082377802808297,0.16205750617523712,0.0,0.3333333333333333,0.6,"{'ABOD', 'KNN', 'MCD'}","{'COPOD', 'HBOS', 'MCD'}","{'KNN', 'COPOD', 'CBLOF', 'MCD', 'ABOD'}","{'COPOD', 'MCD', 'HBOS', 'IForest', 'ABOD'}",0.6666666666666666
