,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.08070015401692161,PCA,COPOD,0.8217571397427512,0.8459178945417477,0.9942882057989972,0.7343712352886664,0.22377622377622378,0.48445166145539886,0.0,0.0,0.4,"{'IForest', 'PCA', 'OCSVM'}","{'HBOS', 'COPOD', 'ABOD'}","{'PCA', 'ABOD', 'IForest', 'COPOD', 'OCSVM'}","{'HBOS', 'ABOD', 'LOF', 'COPOD', 'KNN'}",0.6060606060606061
synthetic_cluster_validation,0.05345513282487795,PCA,ABOD,0.8217571397427512,0.8459178945417477,1.0,0.7929570938745251,0.6504436355879909,0.022008556958211092,0.0,0.0,0.6,"{'IForest', 'PCA', 'OCSVM'}","{'LOF', 'KNN', 'ABOD'}","{'PCA', 'ABOD', 'IForest', 'COPOD', 'OCSVM'}","{'ABOD', 'IForest', 'LOF', 'OCSVM', 'KNN'}",0.5757575757575758
synthetic_global_validation,0.05345513282487795,PCA,ABOD,0.8217571397427512,0.8459178945417477,1.0,0.7929570938745251,0.4756778140623356,0.11804066418376953,0.0,0.3333333333333333,0.8,"{'IForest', 'PCA', 'OCSVM'}","{'IForest', 'KNN', 'ABOD'}","{'PCA', 'ABOD', 'IForest', 'COPOD', 'OCSVM'}","{'ABOD', 'IForest', 'COPOD', 'OCSVM', 'KNN'}",0.5909090909090909
synthetic_discrepancy_validation,0.032617687011095145,PCA,HBOS,0.8217571397427512,0.8459178945417477,0.9004796163069544,0.7440366972477064,-0.0979020979020979,0.762121655996299,0.0,0.0,0.4,"{'IForest', 'PCA', 'OCSVM'}","{'HBOS', 'COPOD', 'ABOD'}","{'PCA', 'ABOD', 'IForest', 'COPOD', 'OCSVM'}","{'HBOS', 'ABOD', 'LOF', 'COPOD', 'KNN'}",0.4696969696969697
