,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.004897628348488057,PCA,COPOD,0.9684522426214269,0.96016470129617,0.990413664884964,0.9121430659779748,0.1258741258741259,0.6966831093957659,0.0,0.0,0.4,"{'IForest', 'PCA', 'OCSVM'}","{'ABOD', 'LOF', 'COPOD'}","{'COPOD', 'ABOD', 'OCSVM', 'PCA', 'IForest'}","{'COPOD', 'ABOD', 'HBOS', 'LOF', 'KNN'}",0.5757575757575758
synthetic_cluster_validation,0.0013711971430286926,PCA,ABOD,0.9684522426214269,0.96016470129617,1.0,0.9546827794561934,0.6504436355879909,0.022008556958211092,0.0,0.0,0.6,"{'IForest', 'PCA', 'OCSVM'}","{'ABOD', 'LOF', 'KNN'}","{'COPOD', 'ABOD', 'OCSVM', 'PCA', 'IForest'}","{'LOF', 'ABOD', 'OCSVM', 'IForest', 'KNN'}",0.5909090909090909
synthetic_global_validation,0.0013711971430286926,PCA,ABOD,0.9684522426214269,0.96016470129617,1.0,0.9546827794561934,0.6504436355879909,0.022008556958211092,0.0,0.0,0.6,"{'IForest', 'PCA', 'OCSVM'}","{'ABOD', 'LOF', 'KNN'}","{'COPOD', 'ABOD', 'OCSVM', 'PCA', 'IForest'}","{'LOF', 'ABOD', 'OCSVM', 'IForest', 'KNN'}",0.5909090909090909
synthetic_discrepancy_validation,0.0008558935304547251,PCA,COPOD,0.9684522426214269,0.96016470129617,0.9496862653962352,0.9121430659779748,-0.18181818181818185,0.5717012385276553,0.0,0.0,0.4,"{'IForest', 'PCA', 'OCSVM'}","{'ABOD', 'HBOS', 'COPOD'}","{'COPOD', 'ABOD', 'OCSVM', 'PCA', 'IForest'}","{'COPOD', 'ABOD', 'HBOS', 'LOF', 'KNN'}",0.4696969696969697
