validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.8421671171700552,0.7806202455625251,0.7726112618497698,0.8525232733885744,0.1494661921708185,2.267052173614502
real_validation,KNN,0.8298860030555882,0.7822050580541839,0.7356443241184456,0.853060081991907,0.13392857142857142,0.2561652660369873
real_validation,LOF,0.6440239746151134,0.6399556252502336,0.5309504185389748,0.7472649378307462,0.2376237623762376,0.17245960235595703
real_validation,COF,0.5960551572844439,0.512728546643534,0.49851328928611366,0.6846704765235063,0.23404255319148937,0.6238803863525391
real_validation,IForest,0.6424178320993459,0.6559955958894969,0.5763067141434506,0.7719208182609089,0.15789473684210525,0.1931307315826416
real_validation,OCSVM,0.572805265013515,0.6145819431469371,0.5446257419999113,0.759192916134682,0.1746987951807229,0.07349061965942383
real_validation,COPOD,0.4411799271359737,0.47574402775924196,0.405082284259954,0.6257584680844868,0.4375,0.27805352210998535
real_validation,PCA,,,,,,
real_validation,HBOS,0.6044580248364477,0.644201254504204,0.5464634499361775,0.7692071314771596,0.18471337579617833,1.8367741107940674
real_validation,MCD,0.661378148626944,0.6625934205258242,0.5785740660356463,0.7686511371768594,0.16666666666666666,0.3623313903808594
real_validation,LODA,0.49102910643632236,0.5028276391298545,0.4437701236120375,0.6476555442850495,0.3780487804878049,0.02651691436767578
real_validation,CBLOF,0.733752497355741,0.7133574669691712,0.6390280731858231,0.8123234779759174,0.15714285714285714,0.8718626499176025
synthetic_local_validation,ABOD,0.9735769969052376,0.7806202455625251,0.9675930615199895,0.8525232733885744,0.1494661921708185,1.109598159790039
synthetic_local_validation,KNN,0.9491910526109609,0.7822050580541839,0.9325483086656916,0.853060081991907,0.13392857142857142,0.24825572967529297
synthetic_local_validation,LOF,0.9448427155560778,0.6399556252502336,0.8710590791046081,0.7472649378307462,0.2376237623762376,0.1544640064239502
synthetic_local_validation,COF,0.9267050573902142,0.512728546643534,0.8810185530101429,0.6846704765235063,0.23404255319148937,0.6566617488861084
synthetic_local_validation,IForest,0.9028087906922082,0.6559955958894969,0.8531637991027319,0.7719208182609089,0.15789473684210525,0.20301246643066406
synthetic_local_validation,OCSVM,0.9356367767461903,0.6145819431469371,0.9145691094585978,0.759192916134682,0.1746987951807229,0.10347962379455566
synthetic_local_validation,COPOD,0.9494456849610218,0.47574402775924196,0.9277494600423565,0.6257584680844868,0.4375,0.02839183807373047
synthetic_local_validation,PCA,,,,,,
synthetic_local_validation,HBOS,0.9698162729658792,0.644201254504204,0.9716769537099039,0.7692071314771596,0.18471337579617833,0.011312007904052734
synthetic_local_validation,MCD,0.9991577545344146,0.6625934205258242,0.9989967787694657,0.7686511371768594,0.16666666666666666,0.3818204402923584
synthetic_local_validation,LODA,0.8443412856974967,0.502360536500734,0.7998802352968525,0.6441730205320865,0.4057971014492754,0.026760578155517578
synthetic_local_validation,CBLOF,0.9348924667998589,0.7133574669691712,0.9113567188692693,0.8123234779759174,0.15714285714285714,0.025620460510253906
synthetic_cluster_validation,ABOD,1.0,0.7806202455625251,0.9999999999999998,0.8525232733885744,0.1494661921708185,1.432678461074829
synthetic_cluster_validation,KNN,0.9999608257922984,0.7822050580541839,0.9999506188088176,0.853060081991907,0.13392857142857142,0.2586097717285156
synthetic_cluster_validation,LOF,0.9831355035844399,0.6399556252502336,0.9687791019047407,0.7472649378307462,0.2376237623762376,0.16513586044311523
synthetic_cluster_validation,COF,0.4160692599992165,0.512728546643534,0.3671998137356166,0.6846704765235063,0.23404255319148937,0.6175568103790283
synthetic_cluster_validation,IForest,0.9836643553884122,0.6559955958894969,0.9706287681999815,0.7719208182609089,0.15789473684210525,0.19191336631774902
synthetic_cluster_validation,OCSVM,1.0,0.6145819431469371,0.9999999999999998,0.759192916134682,0.1746987951807229,0.07413482666015625
synthetic_cluster_validation,COPOD,0.9929290555098523,0.47574402775924196,0.9892316260347506,0.6257584680844868,0.4375,0.02588963508605957
synthetic_cluster_validation,PCA,,,,,,
synthetic_cluster_validation,HBOS,1.0,0.644201254504204,0.9999999999999998,0.7692071314771596,0.18471337579617833,0.011185884475708008
synthetic_cluster_validation,MCD,0.997649547537901,0.6625934205258242,0.9970006589997471,0.7686511371768594,0.16666666666666666,0.3491170406341553
synthetic_cluster_validation,LODA,0.9884240216241627,0.5068313759508875,0.982192164733134,0.6721017149841411,0.3448275862068966,0.02662038803100586
synthetic_cluster_validation,CBLOF,0.9999020644807459,0.7133574669691712,0.999876849717175,0.8123234779759174,0.15714285714285714,0.02498149871826172
synthetic_global_validation,ABOD,1.0,0.7806202455625251,0.9999999999999998,0.8525232733885744,0.1494661921708185,1.1159477233886719
synthetic_global_validation,KNN,1.0,0.7822050580541839,0.9999999999999998,0.853060081991907,0.13392857142857142,0.2640814781188965
synthetic_global_validation,LOF,0.9995299095075802,0.6399556252502336,0.9994193187613927,0.7472649378307462,0.2376237623762376,0.14757108688354492
synthetic_global_validation,COF,0.39397500685548636,0.512728546643534,0.3557323855418154,0.6846704765235063,0.23404255319148937,0.6134090423583984
synthetic_global_validation,IForest,1.0,0.6559955958894969,0.9999999999999998,0.7719208182609089,0.15789473684210525,0.19171786308288574
synthetic_global_validation,OCSVM,1.0,0.6145819431469371,1.0,0.759192916134682,0.1746987951807229,0.08931946754455566
synthetic_global_validation,COPOD,0.9996278450268343,0.47574402775924196,0.9995253694786684,0.6257584680844868,0.4375,0.025112628936767578
synthetic_global_validation,PCA,,,,,,
synthetic_global_validation,HBOS,1.0,0.644201254504204,1.0,0.7692071314771596,0.18471337579617833,0.010819673538208008
