,mse_best_model,real_best_model,synthetic_best_model,real_val_auc,real_test_auc,synthetic_val_auc,synthetic_test_auc,rank_correlation,rank_correlation_pvalue,top1_overlap,top3_overlap,top5_overlap,real_top3,synthetic_top3,real_top5,synthetic_top5,pairwise_win_rate
synthetic_local_validation,0.0756346046255186,ABOD,MCD,0.8421671171700552,0.7806202455625251,0.9991577545344146,0.6625934205258242,0.4000000000000001,0.22286835013352002,0.0,0.3333333333333333,0.6,"{'KNN', 'ABOD', 'CBLOF'}","{'MCD', 'ABOD', 'HBOS'}","{'MCD', 'LOF', 'KNN', 'ABOD', 'CBLOF'}","{'MCD', 'HBOS', 'KNN', 'ABOD', 'COPOD'}",0.6545454545454545
synthetic_cluster_validation,0.02491121890241108,ABOD,ABOD,0.8421671171700552,0.7806202455625251,1.0,0.7806202455625251,0.31193973345246884,0.3503771785799732,1.0,0.3333333333333333,0.6,"{'KNN', 'ABOD', 'CBLOF'}","{'OCSVM', 'ABOD', 'HBOS'}","{'MCD', 'LOF', 'KNN', 'ABOD', 'CBLOF'}","{'HBOS', 'OCSVM', 'KNN', 'ABOD', 'CBLOF'}",0.6181818181818182
synthetic_global_validation,0.02491121890241108,ABOD,ABOD,0.8421671171700552,0.7806202455625251,1.0,0.7806202455625251,0.5159324110497601,0.10425446058968656,1.0,0.6666666666666666,0.4,"{'KNN', 'ABOD', 'CBLOF'}","{'KNN', 'ABOD', 'IForest'}","{'MCD', 'LOF', 'KNN', 'ABOD', 'CBLOF'}","{'HBOS', 'OCSVM', 'KNN', 'ABOD', 'IForest'}",0.6181818181818182
synthetic_discrepancy_validation,0.08658416528675594,ABOD,HBOS,0.8421671171700552,0.7806202455625251,1.0,0.644201254504204,0.6545454545454547,0.028864598957001886,0.0,0.6666666666666666,0.6,"{'KNN', 'ABOD', 'CBLOF'}","{'KNN', 'ABOD', 'HBOS'}","{'MCD', 'LOF', 'KNN', 'ABOD', 'CBLOF'}","{'HBOS', 'LOF', 'KNN', 'ABOD', 'IForest'}",0.7090909090909091
