validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,,,,,,
real_validation,KNN,0.9928786200348156,0.9842161583734617,0.9897749196428833,0.9830636508180572,0.06666666666666667,0.06791901588439941
real_validation,LOF,0.9362240860895712,0.9440208667736758,0.8570499712353464,0.9364438362442868,0.06547619047619048,0.014480829238891602
real_validation,COF,0.35258743472068366,0.39038255751738904,0.3452688203745323,0.5484079515852877,0.0,0.15103840827941895
real_validation,IForest,0.9987339768950784,0.9966559657570894,0.9984253145270399,0.9981335307869892,0.056179775280898875,0.12194514274597168
real_validation,OCSVM,0.9936698844753916,0.9947164258962012,0.9915247422542431,0.997045890931961,0.06666666666666667,0.012394428253173828
real_validation,COPOD,0.9987339768950784,0.9961878009630818,0.998400214627494,0.9978666955902854,0.01282051282051282,0.10945725440979004
real_validation,PCA,0.9979427124545023,0.9867576243980738,0.9975245294226904,0.9890329032853287,0.06666666666666667,0.006042003631591797
real_validation,HBOS,0.9974679537901567,0.994983948635634,0.9966485728215306,0.9971009972796573,0.045714285714285714,1.4209532737731934
real_validation,MCD,0.9925621142585852,0.993713215623328,0.9890249793338882,0.9966147552102214,0.061452513966480445,0.033730506896972656
real_validation,LODA,0.9797436303212534,0.9911048689138576,0.9549162266222393,0.9946308898142768,0.04,0.021224498748779297
real_validation,CBLOF,0.9976262066782718,0.9864232209737828,0.9971999404633702,0.9876342566064509,0.061452513966480445,1.0369718074798584
synthetic_local_validation,ABOD,,,,,,
synthetic_local_validation,KNN,0.7732236113309068,0.9842161583734617,0.6892618913821059,0.9830636508180572,0.06666666666666667,0.06708836555480957
synthetic_local_validation,LOF,0.7945877512264599,0.9440208667736758,0.7268633900817942,0.9364438362442868,0.06547619047619048,0.014236688613891602
synthetic_local_validation,COF,0.728596296882418,0.39038255751738904,0.6566737196505245,0.5484079515852877,0.0,0.1511249542236328
synthetic_local_validation,IForest,0.7213957904731761,0.9966559657570894,0.6090535568761997,0.9981335307869892,0.056179775280898875,0.12913084030151367
synthetic_local_validation,OCSVM,0.8029751542965659,0.9947164258962012,0.7151953222667823,0.997045890931961,0.06666666666666667,0.012167215347290039
synthetic_local_validation,COPOD,0.9735717676847603,0.9961878009630818,0.9355468150062459,0.9978666955902854,0.01282051282051282,0.010716438293457031
synthetic_local_validation,PCA,0.8036081658490268,0.9867576243980738,0.7170374301129744,0.9890329032853287,0.06666666666666667,0.005730628967285156
synthetic_local_validation,HBOS,0.8264757081816744,0.994983948635634,0.7796327869585021,0.9971009972796573,0.045714285714285714,0.006055593490600586
synthetic_local_validation,MCD,0.7252729862319987,0.993713215623328,0.6294232382830607,0.9966147552102214,0.061452513966480445,0.033272743225097656
synthetic_local_validation,LODA,0.7448963443582844,0.9926431246655966,0.6391865544206797,0.995717459310193,0.06179775280898876,0.021274328231811523
synthetic_local_validation,CBLOF,0.7789207153030544,0.9864232209737828,0.7005763636144298,0.9876342566064509,0.061452513966480445,0.09923529624938965
synthetic_cluster_validation,ABOD,,,,,,
synthetic_cluster_validation,KNN,0.9667668934958062,0.9842161583734617,0.9277152484479803,0.9830636508180572,0.06666666666666667,0.06795811653137207
synthetic_cluster_validation,LOF,0.9650261117265391,0.9440208667736758,0.9139005137893459,0.9364438362442868,0.06547619047619048,0.014372587203979492
synthetic_cluster_validation,COF,0.3764836208260801,0.39038255751738904,0.3525619457424576,0.5484079515852877,0.0,0.15046238899230957
synthetic_cluster_validation,IForest,0.97325526190853,0.9966559657570894,0.9573156419096004,0.9981335307869892,0.056179775280898875,0.12576055526733398
synthetic_cluster_validation,OCSVM,0.9745212850134514,0.9947164258962012,0.9572313602405349,0.997045890931961,0.06666666666666667,0.012356996536254883
synthetic_cluster_validation,COPOD,0.9952524133565439,0.9961878009630818,0.9924779246912552,0.9978666955902854,0.01282051282051282,0.010885000228881836
synthetic_cluster_validation,PCA,0.9719892388036082,0.9867576243980738,0.948284316168867,0.9890329032853287,0.06666666666666667,0.006014585494995117
synthetic_cluster_validation,HBOS,0.9539484095584745,0.994983948635634,0.9246213946741466,0.9971009972796573,0.045714285714285714,0.006092548370361328
synthetic_cluster_validation,MCD,0.8885899667668935,0.993713215623328,0.8061517145691954,0.9966147552102214,0.061452513966480445,0.03400826454162598
synthetic_cluster_validation,LODA,0.9484095584744422,0.9919743178170144,0.8847654861542592,0.995538752785238,0.056179775280898875,0.02127838134765625
synthetic_cluster_validation,CBLOF,0.9700902041462257,0.9864232209737828,0.9455105250514986,0.9876342566064509,0.061452513966480445,0.11281037330627441
synthetic_global_validation,ABOD,,,,,,
synthetic_global_validation,KNN,0.9968349422376959,0.9842161583734617,0.9959947744787817,0.9830636508180572,0.06666666666666667,0.07122302055358887
synthetic_global_validation,LOF,0.9529988922297832,0.9440208667736758,0.8947547050949605,0.9364438362442868,0.06547619047619048,0.015168905258178711
synthetic_global_validation,COF,0.34768159518911224,0.39038255751738904,0.3431827729698743,0.5484079515852877,0.0,0.15685701370239258
